asset,total_return,cagr,maxdd,calmar,sharpe,n_trades,W,d,p,avg_hold
spx,2.606978365915275,0.058503398359374126,-0.2377578053372783,0.24606299791665057,0.5194347723528607,176,1,0.02,0.02,5.295454545454546
spx,2.6902922160345635,0.059575192416391864,-0.3301163643527989,0.18046724988381133,0.4908844586205341,118,1,0.02,0.04,13.101694915254237
spx,2.4263059973810073,0.05609543096700653,-0.35033329949276737,0.16012017997782316,0.44040845592343986,83,1,0.02,0.06,26.867469879518072
spx,2.7411248548668907,0.06021782822772637,-0.41909485295899884,0.14368543971027398,0.4505885504444725,63,1,0.02,0.08,45.45161290322581
spx,1.9222305353675608,0.048673219153527514,-0.5225165134319119,0.09315154239593239,0.3711840171783836,48,1,0.02,0.1,69.51063829787235
spx,3.1924824843501183,0.06558363175175108,-0.4916968841377787,0.13338223988699072,0.4630636933624027,41,1,0.02,0.12000000000000001,91.175
spx,4.46718932874084,0.07819483934865734,-0.48532077855174316,0.1611199083253768,0.5290767451421835,35,1,0.02,0.13999999999999999,117.8529411764706
spx,5.054194878655121,0.08307929935583758,-0.4775019551183849,0.17398734908894792,0.5502706227558521,30,1,0.02,0.16,146.13793103448276
spx,4.667607381160611,0.0799165846583223,-0.4724634465745553,0.16914871454655775,0.5292398061473721,25,1,0.02,0.18,183.45833333333334
spx,4.2147048908320786,0.07593783074439076,-0.5481645866642486,0.13853107732934006,0.5038598032146726,21,1,0.02,0.19999999999999998,220.28571428571428
spx,4.2099248922842,0.07589410178043621,-0.5371878221982489,0.1412803839630369,0.5012410290532278,20,1,0.02,0.22,232.0
spx,5.247124262584933,0.0845861429411594,-0.5357474322909455,0.1578843646146001,0.5437855020847113,18,1,0.02,0.24,270.7647058823529
spx,5.093285655465323,0.08338828298191414,-0.5677538894035716,0.14687399688184252,0.5352952758024343,16,1,0.02,0.26,310.4
spx,5.440702258030567,0.08605400047839096,-0.5677538894035716,0.15156919588660347,0.5474031102595424,15,1,0.02,0.28,338.7857142857143
spx,4.622740828672878,0.07953625949936582,-0.5677538894035716,0.14008932564586932,0.5132489459454112,13,1,0.02,0.30000000000000004,387.5
spx,4.58857754367768,0.07924471386202958,-0.5677538894035716,0.13957581857391863,0.5106142419476556,13,1,0.02,0.32,394.0833333333333
spx,5.053081722556889,0.0830704727898266,-0.5677538894035716,0.14631422935225077,0.5290406427921273,12,1,0.02,0.34,437.8181818181818
spx,5.752845570467192,0.08833436423942875,-0.5677538894035716,0.1555856611255001,0.5547701386889783,12,1,0.02,0.36000000000000004,447.09090909090907
spx,6.6303160859444645,0.0942429029259213,-0.5677538894035716,0.16599252719329488,0.5829203350247674,12,1,0.02,0.38,453.45454545454544
spx,6.283453062968958,0.09198898202980543,-0.5677538894035716,0.16202263647447723,0.5715421213364156,11,1,0.02,0.4,513.0
spx,1.8732129147873486,0.047887301619016,-0.23682754664132433,0.20220325843910966,0.4982718043348686,90,1,0.04,0.02,3.577777777777778
spx,2.3142572709489144,0.054540333399674346,-0.26633492734558273,0.20478100241394764,0.5198449407627042,71,1,0.04,0.04,7.0
spx,1.8504487831867058,0.04751794904512918,-0.3158329856357641,0.15045277474573057,0.4305379241400359,52,1,0.04,0.06,15.096153846153847
spx,1.2988307811135376,0.037580417487947715,-0.3497593899965371,0.10744648624964662,0.3396113861932741,39,1,0.04,0.08,29.435897435897434
spx,1.02626253852422,0.03179296929647113,-0.3952011262240185,0.08044756754678221,0.2903831792205528,31,1,0.04,0.1,50.483870967741936
spx,1.5934763243881611,0.04314097925263005,-0.40166185760533735,0.10740621354945601,0.36000936514694054,27,1,0.04,0.12000000000000001,68.44444444444444
spx,1.8131826802664093,0.046907170501489404,-0.45761109158866575,0.10250444397806029,0.37711091528809687,23,1,0.04,0.13999999999999999,98.95652173913044
spx,1.5437121477903344,0.04224564510051132,-0.45761109158866575,0.09231779097366108,0.3442233979457367,19,1,0.04,0.16,124.0
spx,1.3131470415744189,0.03786594566498147,-0.45761109158866575,0.08274700146258288,0.31327426534767183,16,1,0.04,0.18,160.75
spx,1.0520142874295173,0.03237063101648974,-0.5333432783347525,0.06069380140602866,0.27706726054750414,13,1,0.04,0.19999999999999998,219.76923076923077
spx,1.4864953934854515,0.04119530271959304,-0.5220064491066532,0.07891722945203741,0.3266634305685962,13,1,0.04,0.22,247.66666666666666
spx,1.5615478236742737,0.04256844581840191,-0.5205188108821515,0.08178080201608633,0.3336839315107196,12,1,0.04,0.24,275.09090909090907
spx,1.7089063989612647,0.045156105951204895,-0.5677538894035716,0.07953464836434959,0.34634985819876285,11,1,0.04,0.26,323.0
spx,2.1837420038370827,0.052664300918134455,-0.5677538894035716,0.09275903151180272,0.38806375908167134,11,1,0.04,0.28,331.5
spx,1.7371172397819814,0.04563611004933077,-0.5677538894035716,0.08038009232710275,0.34774339505129404,10,1,0.04,0.30000000000000004,364.6666666666667
spx,2.075315416320806,0.05104901109335436,-0.5677538894035716,0.08991397865540227,0.37758854164922523,10,1,0.04,0.32,372.8888888888889
spx,2.923727799904143,0.062459456759158316,-0.5677538894035716,0.11001149956854069,0.43739403683379846,10,1,0.04,0.34,408.0
spx,3.4182438464120315,0.06806348200077594,-0.5677538894035716,0.11988201802065501,0.4665050880460218,10,1,0.04,0.36000000000000004,419.3333333333333
spx,4.1155066931887845,0.07502238217447754,-0.5677538894035716,0.1321389136643149,0.5020160411057162,10,1,0.04,0.38,433.44444444444446
spx,3.229661282689168,0.06600066598973986,-0.5677538894035716,0.11624872541000802,0.45428891652606035,9,1,0.04,0.4,471.375
spx,0.7854854835126626,0.026024389380972845,-0.2047877687709827,0.12707980333569785,0.3328338496152942,40,1,0.06,0.02,2.75
spx,1.2416354118395194,0.03642247659055764,-0.2047877687709827,0.17785474596038717,0.42833774696990456,38,1,0.06,0.04,4.342105263157895
spx,0.6844840699707517,0.023379877253996817,-0.24501528489811042,0.0954221172924756,0.27786810553317554,27,1,0.06,0.06,9.296296296296296
spx,0.5814903780671754,0.020522317086036024,-0.26156172728337945,0.07846070332683601,0.23140694337081336,23,1,0.06,0.08,25.391304347826086
spx,0.18046583046194375,0.007380089640138365,-0.33489692317902353,0.02203689890633376,0.12138314342228415,18,1,0.06,0.1,40.22222222222222
spx,0.45094699717037523,0.016633219345337347,-0.3288844198423645,0.050574664963787916,0.19200060584078632,16,1,0.06,0.12000000000000001,55.375
spx,0.1484293170850215,0.006152438458514764,-0.4049473234125177,0.01519318218149403,0.11310556763398628,13,1,0.06,0.13999999999999999,86.61538461538461
spx,0.2390988202451778,0.00954666343663324,-0.4049473234125177,0.023575074792896222,0.13790912753521278,12,1,0.06,0.16,106.41666666666667
spx,0.06779149949351826,0.0029112483060407257,-0.4049473234125177,0.007189202490604073,0.09247188339387132,10,1,0.06,0.18,142.1
spx,0.049988008237972226,0.002164182178294949,-0.4725752297372129,0.004579550602976791,0.08819319534799469,9,1,0.06,0.19999999999999998,173.55555555555554
spx,0.20918589110648833,0.00845388138022507,-0.4725752297372129,0.017888964228882795,0.13101114536588235,9,1,0.06,0.22,181.88888888888889
spx,0.37346756030187955,0.014163617520498661,-0.4725752297372129,0.029971138200312976,0.16899964725452735,9,1,0.06,0.24,188.88888888888889
spx,0.3449633031323618,0.013221430220643038,-0.5257845411914792,0.025146099181010503,0.16260098278040214,8,1,0.06,0.26,229.375
spx,0.5102327059627312,0.018439215133738918,-0.5257845411914792,0.035069907327350956,0.19644821483779765,8,1,0.06,0.28,237.375
spx,0.7993411401853063,0.026375963487409226,-0.5257845411914792,0.050164965724626885,0.2449783917143065,8,1,0.06,0.30000000000000004,281.25
spx,0.9689892711086225,0.03048264772935272,-0.5257845411914792,0.05797554956689304,0.26965525484792724,8,1,0.06,0.32,300.125
spx,0.7933881067541562,0.026225229047669663,-0.5257845411914792,0.04987828091758029,0.24338927098608276,7,1,0.06,0.34,341.42857142857144
spx,0.9712437462693304,0.030534911287479538,-0.5257845411914792,0.05807495065998791,0.26951281878945277,7,1,0.06,0.36000000000000004,358.0
spx,1.2227689086275082,0.03603431760413911,-0.5257845411914792,0.06853438011410876,0.30238959899272416,7,1,0.06,0.38,366.42857142857144
spx,1.4536508845730571,0.04058188363865356,-0.5257845411914792,0.07718348574245078,0.3272199321129377,7,1,0.06,0.4,399.0
spx,0.38860536453735905,0.014656415925720534,-0.1939001983080254,0.07558742102180674,0.22535193389976113,20,1,0.08,0.02,2.3
spx,0.3618497143816599,0.013781875055218773,-0.1939001983080254,0.07107715812299069,0.21309832213374502,19,1,0.08,0.04,2.526315789473684
spx,0.008559718960386764,0.0003778183930680523,-0.2450152848981103,0.0015420196875683418,0.04630766177402259,12,1,0.08,0.06,6.083333333333333
spx,0.16190119614633125,0.006672624496169677,-0.2450152848981103,0.027233502999392426,0.11886710349184458,12,1,0.08,0.08,10.083333333333334
spx,-0.09154178038054261,-0.004245903904133819,-0.28520317798668493,-0.014887295205146851,0.005857138915284543,9,1,0.08,0.1,21.77777777777778
spx,0.07341980620799404,0.00314494685012634,-0.28520317798668504,0.011027039994179744,0.08134525669845293,8,1,0.08,0.12000000000000001,28.0
spx,0.1818624220877081,0.007432880369637962,-0.28520317798668493,0.02606170247508594,0.12325143168687143,8,1,0.08,0.13999999999999999,43.875
spx,0.3692130742348345,0.014024181793746093,-0.2852031779866848,0.049172600013597446,0.1847519282283604,8,1,0.08,0.16,53.0
spx,0.5321852241189504,0.019090799560508298,-0.28520317798668493,0.06693754149331245,0.22560230174292334,8,1,0.08,0.18,62.875
spx,0.3746079194613836,0.014200921289898805,-0.35488185465893884,0.04001591262970229,0.178014250538904,7,1,0.08,0.19999999999999998,93.42857142857143
spx,0.5231814164064086,0.018824638830844842,-0.35488185465893884,0.05304480514771984,0.21474843993771736,7,1,0.08,0.22,102.42857142857143
spx,0.6754268098783085,0.023135377288167946,-0.35488185465893884,0.06519177293638281,0.2489375010451065,7,1,0.08,0.24,108.57142857142857
spx,0.5922005723414918,0.020827630234590444,-0.41996467642923274,0.04959376681791012,0.22823719220668698,6,1,0.08,0.26,146.33333333333334
spx,0.7360180075437277,0.024747564916683285,-0.41996467642923274,0.05892772965359966,0.25865024663706565,6,1,0.08,0.28,152.83333333333334
spx,0.9810679628116017,0.030761992846187525,-0.41996467642923274,0.0732490006248684,0.29955475955744404,6,1,0.08,0.30000000000000004,194.33333333333334
spx,1.1154841424928157,0.03376532252592668,-0.41996467642923274,0.080400387034971,0.3207881421200715,6,1,0.08,0.32,210.66666666666666
spx,1.3009787171649414,0.03762336479813122,-0.41996467642923274,0.08958697459516228,0.3477529895167107,6,1,0.08,0.34,231.33333333333334
spx,1.5081793707594202,0.041596053064551164,-0.41996467642923274,0.09904655176769472,0.3755417090973903,6,1,0.08,0.36000000000000004,249.33333333333334
spx,1.763801312827769,0.04608580492398673,-0.41996467642923274,0.10973733628226358,0.4061859467439308,6,1,0.08,0.38,258.1666666666667
spx,2.0196735349217865,0.0501988291233173,-0.41996467642923274,0.11953107473260596,0.4319094109891001,6,1,0.08,0.4,279.0
spx,0.6357196101956433,0.022048356954061488,-0.14918298025338494,0.1477940507463566,0.35260200680073495,15,1,0.1,0.02,2.0
spx,0.5661486946274026,0.020081514731980388,-0.14918298025338494,0.1346099581726565,0.32223156851371687,14,1,0.1,0.04,2.2142857142857144
spx,0.39996119852166534,0.01502273665204834,-0.14918298025338494,0.10070007065506037,0.24395896458937888,10,1,0.1,0.06,4.0
spx,0.5889884634860438,0.02073626991961386,-0.14918298025338494,0.13899889842925534,0.30994252061504896,10,1,0.1,0.08,5.7
spx,0.3336634803727969,0.012842631194193155,-0.22372610790950076,0.05740336393546039,0.192914853395348,8,1,0.1,0.1,13.375
spx,0.4137699412046587,0.015464377202830226,-0.22372610790950065,0.0691219158431242,0.21738971718783978,7,1,0.1,0.12000000000000001,18.571428571428573
spx,0.5638133323778796,0.020014052692705953,-0.22372610790950076,0.0894578325244089,0.26655049012942966,7,1,0.1,0.13999999999999999,20.428571428571427
spx,0.7814639553064555,0.02592185865914365,-0.22372610790950065,0.11586425429449337,0.3279060895109288,7,1,0.1,0.16,22.714285714285715
spx,0.9623179850965797,0.03032765736790899,-0.22372610790950065,0.1355570775860313,0.356127780385517,7,1,0.1,0.18,33.42857142857143
spx,0.7329291398161626,0.024666687889316252,-0.2880621445940448,0.08562974466526345,0.2840876007889758,6,1,0.1,0.19999999999999998,49.0
spx,0.8832463264018702,0.028451258063136198,-0.2880621445940448,0.09876777840153726,0.3150252095560017,6,1,0.1,0.22,57.5
spx,1.0437880450594843,0.032186857146631054,-0.2880621445940448,0.11173581031270453,0.34705244515087247,6,1,0.1,0.24,64.0
spx,0.6639625373683176,0.02282408249562473,-0.3598860808598814,0.06342029800399837,0.2547542946373441,5,1,0.1,0.26,98.2
spx,0.7823053858294478,0.025943329605731646,-0.3598860808598814,0.07208761601378094,0.2807376039061547,5,1,0.1,0.28,105.2
spx,0.9942377852445208,0.031064723791315085,-0.3598860808598814,0.0863182141334604,0.31598499725741425,5,1,0.1,0.30000000000000004,153.2
spx,1.112696740810318,0.03370491667390185,-0.3598860808598814,0.09365440473099203,0.3360735600745599,5,1,0.1,0.32,160.8
spx,1.2619903565032966,0.036837772916111344,-0.3598860808598814,0.10235953785179544,0.35911384885614794,5,1,0.1,0.34,182.4
spx,1.4313424158391759,0.04016074910772427,-0.3598860808598814,0.11159294911258466,0.384316110065679,5,1,0.1,0.36000000000000004,192.4
spx,1.6356910078493638,0.04388770739326886,-0.3598860808598814,0.12194888807148996,0.411214732920624,5,1,0.1,0.38,200.0
spx,1.8435669305944766,0.04740573458932995,-0.3598860808598814,0.1317242791831868,0.43394616361634064,5,1,0.1,0.4,222.6
spx,0.4763028843522179,0.01741409987049858,-0.09737711171115104,0.17883155049981236,0.31640409417447474,11,1,0.12000000000000001,0.02,2.1818181818181817
spx,0.4135123286358049,0.015456175868810762,-0.09737711171115104,0.15872493645794603,0.2819245430855412,10,1,0.12000000000000001,0.04,2.5
spx,0.3634190390353118,0.013833621771502269,-0.13933312053514124,0.09928451841436572,0.2431225155107207,8,1,0.12000000000000001,0.06,4.125
spx,0.5215110174445392,0.018775095022433685,-0.13933312053514113,0.134749691604721,0.3047866910286231,8,1,0.12000000000000001,0.08,5.75
spx,0.24756683388742173,0.009851439923052707,-0.22372610790950076,0.04403348368728474,0.16487745156192168,6,1,0.12000000000000001,0.1,13.833333333333334
spx,0.2750248595638629,0.01082627287534943,-0.22372610790950065,0.048390744274373024,0.1723318550394017,5,1,0.12000000000000001,0.12000000000000001,19.2
spx,0.36650016106255223,0.013935052929804126,-0.22372610790950076,0.06228621710721836,0.20913874350778253,5,1,0.12000000000000001,0.13999999999999999,20.0
spx,0.4833873547573182,0.01762998834912821,-0.22372610790950065,0.07880165848261085,0.2512488601487941,5,1,0.12000000000000001,0.16,21.2
spx,0.6000714477345901,0.021050754899460733,-0.22372610790950076,0.0940916332749862,0.2755983441800612,5,1,0.12000000000000001,0.18,34.4
spx,0.2717002753834765,0.010709314700558581,-0.25186179468058656,0.042520600292474814,0.15666249046075145,4,1,0.12000000000000001,0.19999999999999998,49.25
spx,0.33705862480878457,0.012956766474643278,-0.25186179468058656,0.0514439535820634,0.17747272492421357,4,1,0.12000000000000001,0.22,56.0
spx,0.3953943586589961,0.014875760416353412,-0.25186179468058656,0.05906318755180391,0.1953976909249979,4,1,0.12000000000000001,0.24,61.5
spx,0.11100091581503713,0.004676015802881794,-0.32733780760626396,0.014284985401094602,0.09719733886874042,3,1,0.12000000000000001,0.26,100.66666666666667
spx,0.15047112983762978,0.0062316521808867265,-0.32733780760626396,0.019037373734666258,0.11150254672651327,3,1,0.12000000000000001,0.28,104.66666666666667
spx,0.2468644397126143,0.009826235014843698,-0.32733780760626396,0.030018637586352745,0.1433304089213498,3,1,0.12000000000000001,0.30000000000000004,150.66666666666666
spx,0.27735617803471113,0.010908114454214246,-0.32733780760626396,0.03332372307978245,0.15264007904496674,3,1,0.12000000000000001,0.32,156.66666666666666
spx,0.33174989224942997,0.012778179282315394,-0.32733780760626396,0.03903667399668522,0.1684954773886885,3,1,0.12000000000000001,0.34,187.66666666666666
spx,0.3880407962686525,0.014638129252459109,-0.32733780760626396,0.04471872454790338,0.18448504311824285,3,1,0.12000000000000001,0.36000000000000004,191.33333333333334
spx,0.4591509008334629,0.016887291074575872,-0.32733780760626396,0.05158979709086533,0.20308498481421827,3,1,0.12000000000000001,0.38,200.66666666666666
spx,0.5271069457563837,0.01894086541168072,-0.32733780760626396,0.057863360026115924,0.2193319677306445,3,1,0.12000000000000001,0.4,218.0
spx,0.319738901532967,0.012371602256121328,-0.09737711171115104,0.12704835909303938,0.28611358750872384,6,1,0.13999999999999999,0.02,2.0
spx,0.319738901532967,0.012371602256121328,-0.09737711171115104,0.12704835909303938,0.28611358750872384,6,1,0.13999999999999999,0.04,2.0
spx,0.3028605876518813,0.01179424736419632,-0.11536895667660219,0.10223068409344725,0.2631797761094963,5,1,0.13999999999999999,0.06,3.0
spx,0.3871850770192977,0.014610398484011577,-0.1153689566766023,0.12664063977770787,0.310017528498356,5,1,0.13999999999999999,0.08,3.2
spx,0.17876586696992902,0.007315750944744126,-0.17470180965098014,0.041875644902359954,0.14587187684011071,4,1,0.13999999999999999,0.1,6.0
spx,0.14948732517580332,0.006193501496448928,-0.17470180965098003,0.03545184511152077,0.12448852372415742,3,1,0.13999999999999999,0.12000000000000001,9.666666666666666
spx,0.21629874673148142,0.008716051310943884,-0.17470180965098003,0.049891019036132744,0.16063696172681174,3,1,0.13999999999999999,0.13999999999999999,10.666666666666666
